id,title,description,availability,condition,price,link,image_link,brand
107257,A Massa De Modelar Magic Patrulha Canina Azul  12 Cores 300g,A Massa De Modelar Magic Patrulha Canina Azul  12 Cores 300g,in stock,new,26.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-385ae34e53ae4fefa5a6b1e01676538b.webp,Magic Kids
111725,Abs Intimus Noturno Suave Extra Longo 10Un,Abs Intimus Noturno Suave Extra Longo 10Un,in stock,new,33.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-1672f3281390414589001ad13bddeef0.jpeg,Intimus
86725,Absorvente Always Cobertura Seca com Abas Tamanho G 32 Unidades,Absorvente Always Cobertura Seca com Abas Tamanho G 32 Unidades,in stock,new,33.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-d27ee5d9f5cb4bf8b10a5300324e6bec.png,Always
101964,Absorvente Always Proteção Total Suave com Abas Tamanho G 32 Unidades,Absorvente Always Proteção Total Suave com Abas Tamanho G 32 Unidades,in stock,new,32.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-40e786ecd30644818dda668607234fa2.jpg,Always
86877,Absorvente com Abas Antibacteriano Ultrafino Intimus Pacote 14 Unidades,Absorvente com Abas Antibacteriano Ultrafino Intimus Pacote 14 Unidades,in stock,new,11.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-9487aa59652449f5bd12f8517c74e745.jpeg,Intimus
84781,Absorvente com Abas Dia & Noite Ultrafino Extra Suave Intimus Pacote 14 Unidades,Absorvente com Abas Dia & Noite Ultrafino Extra Suave Intimus Pacote 14 Unidades,in stock,new,18.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-e0fe33bdbe284f94b2a4d90fd29da2e3.jpeg,Intimus
85058,Absorvente com Abas Dia & Noite Ultrafino Extra Suave Intimus Pacote 28 Unidades,Absorvente com Abas Dia & Noite Ultrafino Extra Suave Intimus Pacote 28 Unidades,in stock,new,32.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-e85bf0fbad5749bea4b0b5148edefcf2.png,Intimus
81484,Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote 32 Unidades,Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote 32 Unidades,in stock,new,19.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-7bf9ee57b64145668607916908a2704b.jpeg,Intimus
3409,Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote 8 Unidades,Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote 8 Unidades,in stock,new,6.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-74d6bbc130ea4e1db6edfcb33172d0c9.jpeg,Intimus
59052,Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote Leve 16 Pague 14 Unidades,Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote Leve 16 Pague 14 Unidades,in stock,new,10.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-a17ea762a2cc461f9a8ac66884c8b609.jpeg,Intimus
78007,Absorvente com Abas Noite e Dia Suave Sempre Livre Adapt Plus Pacote 16 Unidades  Leve Mais Pague Menos,Absorvente com Abas Noite e Dia Suave Sempre Livre Adapt Plus Pacote 16 Unidades  Leve Mais Pague Menos,in stock,new,25.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-c34d881634ab443a99fb0714b5a7c389.jpeg,Sempre Livre
3673,Absorvente com Abas Noite e Dia Suave Sempre Livre Adapt Plus Pacote 8 Unidades,Absorvente com Abas Noite e Dia Suave Sempre Livre Adapt Plus Pacote 8 Unidades,in stock,new,13.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-2abc89e8f7e2474b885389f59ffe803d.jpeg,Sempre Livre
84861,Absorvente com Abas Noite e Dia Total Protect Suave Sym Pacote 16 Unidades Leve Mais Pague Menos,Absorvente com Abas Noite e Dia Total Protect Suave Sym Pacote 16 Unidades Leve Mais Pague Menos,in stock,new,14.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-b38969154fa046778e16825b3ca76bfd.jpeg,Sym
43547,Absorvente com Abas Noite e Dia Total Protect Suave Sym Pacote 8 Unidades,Absorvente com Abas Noite e Dia Total Protect Suave Sym Pacote 8 Unidades,in stock,new,7.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-2fa645a1e23a49ba94ed737bc85d79f7.jpeg,Sym
67010,Absorvente com Abas Seca Always G Pacote 16 Unidades Grátis 2 Unidades,Absorvente com Abas Seca Always G Pacote 16 Unidades Grátis 2 Unidades,in stock,new,20.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-fdba813f8f9d4784937543b790a50daf.png,Always
68076,Absorvente com Abas Seca Always G Pacote 8 Unidades,Absorvente com Abas Seca Always G Pacote 8 Unidades,in stock,new,11.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-e928134da52d430fb088c75508644650.png,Always
77618,Absorvente com Abas Seca Always P Pacote 32 Unidades Grátis 4 Unidades,Absorvente com Abas Seca Always P Pacote 32 Unidades Grátis 4 Unidades,in stock,new,22.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-6fa9837079684c3399d8a193fc4626a1.png,Always
78709,Absorvente com Abas Seca Always P Pacote 8 Unidades,Absorvente com Abas Seca Always P Pacote 8 Unidades,in stock,new,6.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-17a56bb017414019b152a6027d84e3b7.png,Always
91547,Absorvente com Abas Seca Always Pequeno Pacote 16 Unidades Grátis 2 Absorventes,Absorvente com Abas Seca Always Pequeno Pacote 16 Unidades Grátis 2 Absorventes,in stock,new,10.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-c3b6d5a423914b4696665cdcc3ee56b5.jpeg,Always
85529,Absorvente com Abas Seca Intimus Noturno Pacote 30 Unidades Leve Mais Pague Menos,Absorvente com Abas Seca Intimus Noturno Pacote 30 Unidades Leve Mais Pague Menos,in stock,new,25.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-29b0e07267e746cabbf2b78f3cb4f820.jpeg,Intimus
