id,title,description,availability,condition,price,link,image_link,brand
86725,Absorvente Always Cobertura Seca com Abas Tamanho G 32 Unidades,Absorvente Always Cobertura Seca com Abas Tamanho G 32 Unidades,in stock,new,33.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-d27ee5d9f5cb4bf8b10a5300324e6bec.png,Always
101964,Absorvente Always Proteção Total Suave com Abas Tamanho G 32 Unidades,Absorvente Always Proteção Total Suave com Abas Tamanho G 32 Unidades,in stock,new,32.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-40e786ecd30644818dda668607234fa2.jpg,Always
85058,Absorvente com Abas Dia & Noite Ultrafino Extra Suave Intimus Pacote 28 Unidades,Absorvente com Abas Dia & Noite Ultrafino Extra Suave Intimus Pacote 28 Unidades,in stock,new,32.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-e85bf0fbad5749bea4b0b5148edefcf2.png,Intimus
81484,Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote 32 Unidades,Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote 32 Unidades,in stock,new,19.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-7bf9ee57b64145668607916908a2704b.jpeg,Intimus
59052,Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote Leve 16 Pague 14 Unidades,Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote Leve 16 Pague 14 Unidades,in stock,new,10.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-a17ea762a2cc461f9a8ac66884c8b609.jpeg,Intimus
78007,Absorvente com Abas Noite e Dia Suave Sempre Livre Adapt Plus Pacote 16 Unidades  Leve Mais Pague Menos,Absorvente com Abas Noite e Dia Suave Sempre Livre Adapt Plus Pacote 16 Unidades  Leve Mais Pague Menos,in stock,new,25.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-c34d881634ab443a99fb0714b5a7c389.jpeg,Sempre Livre
3673,Absorvente com Abas Noite e Dia Suave Sempre Livre Adapt Plus Pacote 8 Unidades,Absorvente com Abas Noite e Dia Suave Sempre Livre Adapt Plus Pacote 8 Unidades,in stock,new,13.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-2abc89e8f7e2474b885389f59ffe803d.jpeg,Sempre Livre
84861,Absorvente com Abas Noite e Dia Total Protect Suave Sym Pacote 16 Unidades Leve Mais Pague Menos,Absorvente com Abas Noite e Dia Total Protect Suave Sym Pacote 16 Unidades Leve Mais Pague Menos,in stock,new,14.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-b38969154fa046778e16825b3ca76bfd.jpeg,Sym
85529,Absorvente com Abas Seca Intimus Noturno Pacote 30 Unidades Leve Mais Pague Menos,Absorvente com Abas Seca Intimus Noturno Pacote 30 Unidades Leve Mais Pague Menos,in stock,new,25.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-29b0e07267e746cabbf2b78f3cb4f820.jpeg,Intimus
81483,Absorvente com Abas Seca Intimus Tripla Proteção Pacote 32 Unidades Leve Mais Pague Menos,Absorvente com Abas Seca Intimus Tripla Proteção Pacote 32 Unidades Leve Mais Pague Menos,in stock,new,19.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-543b9cb654414a009a6fbe3cea78b503.jpeg,Intimus
59051,Absorvente com Abas Seca Intimus Tripla Proteção Pacote Leve 16 Pague 14 Unidades,Absorvente com Abas Seca Intimus Tripla Proteção Pacote Leve 16 Pague 14 Unidades,in stock,new,10.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-f4dcd8b2548c4db2a6a7855a032883b8.jpeg,Intimus
109963,Absorvente com Abas Suave Always G Pacote 16 Unidades Grátis 2 Unidades,Absorvente com Abas Suave Always G Pacote 16 Unidades Grátis 2 Unidades,in stock,new,18.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-b02a10fb2d554a43bc30f611058fd789.png,Always
101973,Absorvente com Abas Suave Always Noites Tranquilas XG Pacote 8 Unidades,Absorvente com Abas Suave Always Noites Tranquilas XG Pacote 8 Unidades,in stock,new,14.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-69f17123a02a4b1fa4a40a89abba6a38.png,Always
85800,Absorvente com Abas Suave Intimus Noturno Pacote 16 Unidades Leve Mais Pague Menos,Absorvente com Abas Suave Intimus Noturno Pacote 16 Unidades Leve Mais Pague Menos,in stock,new,19.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-8d3702f7d95a44fea5be18c464381a79.jpeg,Intimus
